Phulwari,Gardanibagh S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Navshakti S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Patna Collectoriate S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Patna G.P.O.,800001,Phulwari,PATNA,BIHAR
Phulwari,R.Block S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,B.C. Road S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,L.I.C S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,B.P.S.C. S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Chiraiyatand S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Darul Mallick S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Hotel Republic S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Kidwaipuri S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Punaichak S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Sri Krishnapuri S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Indian Nation S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Jamal Road S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Mithapur S.O (Patna),800001,Phulwari,PATNA,BIHAR
Phulwari,New Jakkanpur S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Postal Park S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Rajapur Mainpura S.O,800001,Phulwari,PATNA,BIHAR
Phulwari,Bank Road S.O (Patna),800001,Phulwari,PATNA,BIHAR
Phulwari,C.R. Building S.O,800001,Phulwari,PATNA,BIHAR
Bitaura,Beur B.O,800002,Phulwari,PATNA,BIHAR
Phulwari,Anisabad S.O,800002,Phulwari,PATNA,BIHAR
Phulwari,Beur B.O,800002,Phulwari,PATNA,BIHAR
Pakri,Pakri B.O,800002,Phulwari,PATNA,BIHAR
Phulwari,Kadamkuan S.O,800003,Phulwari,PATNA,BIHAR
Phulwari,J.C.Road S.O,800004,Phulwari,PATNA,BIHAR
Sampatchak,Machhuatoli S.O,800004,Sampatchak,PATNA,BIHAR
Sampatchak,Naya Tola S.O (Patna),800004,Sampatchak,PATNA,BIHAR
Sampatchak,P.M.C.H S.O,800004,Sampatchak,PATNA,BIHAR
Sampatchak,Bankipore H.O,800004,Sampatchak,PATNA,BIHAR
Sampatchak,Patna University S.O,800005,Sampatchak,PATNA,BIHAR
Sampatchak,M.Y.Sandalpur S.O,800006,Sampatchak,PATNA,BIHAR
Sampatchak,Mahendru S.O,800006,Sampatchak,PATNA,BIHAR
Bairia,Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Sampatchak,Nanmuhia S.O,800007,Sampatchak,PATNA,BIHAR
Sampatchak,Dental College S.O,800007,Sampatchak,PATNA,BIHAR
Abdullah Chak,Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Alabakhshpur,Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Jujharpur,Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Sampatchak,Gulzarbagh S.O,800007,Sampatchak,PATNA,BIHAR
Sampatchak,Sonagopalpur B.O,800007,Sampatchak,PATNA,BIHAR
Ilahi Bag,Bairia B.O,800007,Sampatchak,PATNA,BIHAR
