Kannur,Kannur Railway Station S.O,670001,Kannur,KANNUR,KERALA
Kannur,Kannur H.O,670001,Kannur,KANNUR,KERALA
Kannur,Payyambalam S.O,670001,Kannur,KANNUR,KERALA
Kannur,Civil Station Kannur S.O,670002,Kannur,KANNUR,KERALA
Kannur,Talap S.O (Kannur),670002,Kannur,KANNUR,KERALA
Edakkad,Katalayi B.O,670003,Kannur,KANNUR,KERALA
Kannur,Katalayi B.O,670003,Kannur,KANNUR,KERALA
Kannur,Kannur City S.O,670003,Kannur,KANNUR,KERALA
Kannur,Pallikunnu S.O,670004,Kannur,KANNUR,KERALA
PALLIKUNNU,Pallikunnu S.O,670004,Kannur,KANNUR,KERALA
Elayavoor,Kakkat S.O,670005,Kannur,KANNUR,KERALA
PALLIKUNNU,Kottali B.O,670005,Kannur,KANNUR,KERALA
Kannur,Kakkat S.O,670005,Kannur,KANNUR,KERALA
Kannur,Kottali B.O,670005,Kannur,KANNUR,KERALA
puzhathi,Kakkat S.O,670005,Kannur,KANNUR,KERALA
puzhathi,Kottali B.O,670005,Kannur,KANNUR,KERALA
Chirakkal,Kottali B.O,670005,Kannur,KANNUR,KERALA
Elayavoor,Attadappa B.O,670006,Kannur,KANNUR,KERALA
Edakkad,Attadappa B.O,670006,Kannur,KANNUR,KERALA
Elayavoor,Chovva S.O,670006,Kannur,KANNUR,KERALA
Chovva,Chovva S.O,670006,Kannur,KANNUR,KERALA
Chelora,Kappad B.O,670006,Kannur,KANNUR,KERALA
Kannur,Thottada S.O,670007,Kannur,KANNUR,KERALA
Edakkad,Kizhunna B.O,670007,Kannur,KANNUR,KERALA
Elayavoor,Thottada S.O,670007,Kannur,KANNUR,KERALA
Kannur,Kizhunna B.O,670007,Kannur,KANNUR,KERALA
Edakkad,Thottada S.O,670007,Kannur,KANNUR,KERALA
Kannur,Alavil S.O,670008,Kannur,KANNUR,KERALA
Chirakkal,Alavil S.O,670008,Kannur,KANNUR,KERALA
Azhikode,Azhikode South B.O,670009,Kannur,KANNUR,KERALA
Azhikode North,Azhikkal B.O,670009,Kannur,KANNUR,KERALA
Kannur,Azhikode S.O,670009,Kannur,KANNUR,KERALA
Azhikode North,Azhikode S.O,670009,Kannur,KANNUR,KERALA
Azhikode,Azhikkal B.O,670009,Kannur,KANNUR,KERALA
Azhikode South,Azhikode S.O,670009,Kannur,KANNUR,KERALA
Azhikode South,Azhikode South B.O,670009,Kannur,KANNUR,KERALA
VALAPATTANAM,Valapattanam S.O,670010,Kannur,KANNUR,KERALA
Chirakkal,Valapattanam S.O,670010,Kannur,KANNUR,KERALA
Kannur,Valapattanam S.O,670010,Kannur,KANNUR,KERALA
Azhikode,Valapattanam S.O,670010,Kannur,KANNUR,KERALA
Chirakkal,Kattampally B.O,670011,Kannur,KANNUR,KERALA
Kannur,Chirakkal S.O,670011,Kannur,KANNUR,KERALA
VALAPATTANAM,Chirakkal S.O,670011,Kannur,KANNUR,KERALA
